,index,md5hash,fitzpatrick,label,nine_partition_label,three_partition_label,qc,url,url_alphanum,low,mid,high,hasher,image_path
9834,9835,c947a671109f3d95e08eca2e1c42d526,2,fordyce spots,benign dermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/p/pearly-penile-papules/pearly-penile-papules2.jpg,httpwwwdermaamincomsiteimagesclinicalpicppearlypenilepapulespearlypenilepapules2jpg.jpg,33,0,0,c947a671109f3d95e08eca2e1c42d526,https://www.dermaamin.com/site/images/clinical-pic/p/pearly-penile-papules/pearly-penile-papules2.jpg
11795,11796,bde6659e98bcbac779b383d0543c9af3,1,pediculosis lids,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/pediculosis-pubis/pediculosis-pubis7.jpg,httpwwwdermaamincomsiteimagesclinicalpicppediculosispubispediculosispubis7jpg.jpg,73,4,2,bde6659e98bcbac779b383d0543c9af3,https://www.dermaamin.com/site/images/clinical-pic/p/pediculosis-pubis/pediculosis-pubis7.jpg
4804,4805,6772a5c165e305cfc6647cd123fa42b3,3,photodermatoses,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/phytophotodermatitis/phytophotodermatitis52.jpg,httpwwwdermaamincomsiteimagesclinicalpicpphytophotodermatitisphytophotodermatitis52jpg.jpg,75,4,2,6772a5c165e305cfc6647cd123fa42b3,https://www.dermaamin.com/site/images/clinical-pic/p/phytophotodermatitis/phytophotodermatitis52.jpg
9789,9790,3f620827e49b233861fe7a61a6524bc4,2,acne vulgaris,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/a/acne_vulgaris/acne_vulgaris216.jpg,httpwwwdermaamincomsiteimagesclinicalpicaacnevulgarisacnevulgaris216jpg.jpg,2,4,2,3f620827e49b233861fe7a61a6524bc4,https://www.dermaamin.com/site/images/clinical-pic/a/acne_vulgaris/acne_vulgaris216.jpg
689,689,f6bbbeaa317b2166c3a1a699a670fc71,2,stasis edema,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/s/stasis-dermatitis/stasis-dermatitis22.jpg,httpwwwdermaamincomsiteimagesclinicalpicsstasisdermatitisstasisdermatitis22jpg.jpg,99,4,2,f6bbbeaa317b2166c3a1a699a670fc71,https://www.dermaamin.com/site/images/clinical-pic/s/stasis-dermatitis/stasis-dermatitis22.jpg
12770,418,45f370c9ee8231797e884f3099cf2bf1,3,dariers disease,genodermatoses,non-neoplastic,,http://atlasdermatologico.com.br/img?imageId=8597,httpwwwatlasdermatologicocombrimgimageId8597.jpg,15,3,2,45f370c9ee8231797e884f3099cf2bf1,http://atlasdermatologico.com.br/img?imageId=8597
3966,3967,47df3741647f00f3713af546424df866,2,allergic contact dermatitis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/c/contact_dermatitis/contact_dermatitis14.jpg,httpwwwdermaamincomsiteimagesclinicalpicccontactdermatitiscontactdermatitis14jpg.jpg,6,4,2,47df3741647f00f3713af546424df866,https://www.dermaamin.com/site/images/clinical-pic/c/contact_dermatitis/contact_dermatitis14.jpg
2270,2271,9f00c30cabcdd7d1b87b7f534ba4d3a8,5,stasis edema,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/s/stasis-dermatitis/stasis-dermatitis10.jpg,httpwwwdermaamincomsiteimagesclinicalpicsstasisdermatitisstasisdermatitis10jpg.jpg,99,4,2,9f00c30cabcdd7d1b87b7f534ba4d3a8,https://www.dermaamin.com/site/images/clinical-pic/s/stasis-dermatitis/stasis-dermatitis10.jpg
3462,3463,0c429ddf658b46fa7da1d6a7280064b6,2,drug eruption,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/d/drug_eruption/drug_eruption96.jpg,httpwwwdermaamincomsiteimagesclinicalpicddrugeruptiondrugeruption96jpg.jpg,19,4,2,0c429ddf658b46fa7da1d6a7280064b6,https://www.dermaamin.com/site/images/clinical-pic/d/drug_eruption/drug_eruption96.jpg
612,612,538c95f3f7cf85627092c7c1879caf5d,3,eczema,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/e/eczema/eczema69.jpg,httpwwwdermaamincomsiteimagesclinicalpiceeczemaeczema69jpg.jpg,22,4,2,538c95f3f7cf85627092c7c1879caf5d,https://www.dermaamin.com/site/images/clinical-pic/e/eczema/eczema69.jpg
7739,7740,24994267d61c6f7c3448b86ae37f02b5,4,granuloma annulare,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/g/granuloma_annulare/granuloma_annulare113.jpg,httpwwwdermaamincomsiteimagesclinicalpicggranulomaannularegranulomaannulare113jpg.jpg,34,4,2,24994267d61c6f7c3448b86ae37f02b5,https://www.dermaamin.com/site/images/clinical-pic/g/granuloma_annulare/granuloma_annulare113.jpg
